Source,Target,Weight
Luis Antonio Tagle,William Goh,4
Luis Antonio Tagle,Adalberto Martínez Flores,2
Luis Antonio Tagle,Giorgio Marengo IMC,4
Luis Antonio Tagle,Pierbattista Pizzaballa OFM,4
Luis Antonio Tagle,Stephen Brislin,3
Luis Antonio Tagle,Ángel Sixto Rossi SJ,3
Luis Antonio Tagle,Luis José Rueda Aparicio,3
Luis Antonio Tagle,Grzegorz Ryś,3
Luis Antonio Tagle,Stephen Ameyu Martin Mulla,3
Luis Antonio Tagle,José Cobo Cano,3
Luis Antonio Tagle,Protase Rugambwa,3
Luis Antonio Tagle,Sebastian Francis,3
Luis Antonio Tagle,Stephen Chow Sau-yan SJ,4
Luis Antonio Tagle,François-Xavier Bustillo OFMConv,3
Luis Antonio Tagle,Américo Aguiar,3
Luis Antonio Tagle,Carlos Castillo Mattasoglio,2
Luis Antonio Tagle,Vicente Bokalic Iglic CM,2
Luis Antonio Tagle,Luis Cabrera Herrera OFM,3
Luis Antonio Tagle,Fernando Chomalí Garib,3
Luis Antonio Tagle,Tarcisio Isao Kikuchi SVD,4
Luis Antonio Tagle,Pablo Virgilio David,5
Luis Antonio Tagle,Ladislav Nemet SVD,3
Luis Antonio Tagle,Jaime Spengler OFM,3
Luis Antonio Tagle,Ignace Bessi Dogbo,3
Luis Antonio Tagle,Jean-Paul Vesco OP,3
Luis Antonio Tagle,Dominique Mathieu OFMConv,4
Luis Antonio Tagle,Roberto Repole,3
Luis Antonio Tagle,Baldassare Reina,3
Luis Antonio Tagle,Frank Leo,3
Luis Antonio Tagle,Mykola Bychok CSsR,3
Luis Antonio Tagle,Domenico Battaglia,3
Luis Antonio Tagle,Dominique Mamberti,2
Luis Antonio Tagle,Mario Zenari,2
Luis Antonio Tagle,Kevin Farrell,2
Luis Antonio Tagle,Konrad Krajewski,3
Luis Antonio Tagle,José Tolentino de Mendonça,3
Luis Antonio Tagle,Michael Czerny SJ,2
Luis Antonio Tagle,Mario Grech,3
Luis Antonio Tagle,Marcello Semeraro,2
Luis Antonio Tagle,Mauro Gambetti OFMConv,3
Luis Antonio Tagle,Arthur Roche,2
Luis Antonio Tagle,Lazarus You Heung-sik,3
Luis Antonio Tagle,Claudio Gugerotti,3
Luis Antonio Tagle,Víctor Manuel Fernández,3
Luis Antonio Tagle,Emil Paul Tscherrig,2
Luis Antonio Tagle,Christophe Pierre,2
Luis Antonio Tagle,Ángel Fernández Artime SDB,3
Luis Antonio Tagle,Rolandas Makrickas,3
Luis Antonio Tagle,Timothy Radcliffe OP,2
Luis Antonio Tagle,Fabio Baggio CS,3
Luis Antonio Tagle,George Koovakad,4
Robert Francis Prevost OSA,Louis Raphaël I Sako,4
Robert Francis Prevost OSA,Vinko Puljić,2
Robert Francis Prevost OSA,Peter Turkson,2
Robert Francis Prevost OSA,Josip Bozanić,2
Robert Francis Prevost OSA,Philippe Barbarin,2
Robert Francis Prevost OSA,Péter Erdő,2
Robert Francis Prevost OSA,Stanisław Ryłko,2
Robert Francis Prevost OSA,Francisco Robles Ortega,3
Robert Francis Prevost OSA,Daniel DiNardo,4
Robert Francis Prevost OSA,Odilo Scherer,2
Robert Francis Prevost OSA,Robert Sarah,2
Robert Francis Prevost OSA,Raymond Leo Burke,4
Robert Francis Prevost OSA,Kurt Koch,2
Robert Francis Prevost OSA,Kazimierz Nycz,2
Robert Francis Prevost OSA,Malcolm Ranjith,2
Robert Francis Prevost OSA,Reinhard Marx,2
Robert Francis Prevost OSA,João Braz de Aviz,2
Robert Francis Prevost OSA,Thomas Collins,3
Robert Francis Prevost OSA,Wim Eijk,2
Robert Francis Prevost OSA,Giuseppe Betori,2
Robert Francis Prevost OSA,Timothy Dolan,4
Robert Francis Prevost OSA,Rainer Woelki,3
Robert Francis Prevost OSA,James Michael Harvey,4
Robert Francis Prevost OSA,Baselios Cleemis,3
Robert Francis Prevost OSA,Gerhard Ludwig Müller,3
Robert Francis Prevost OSA,Vincent Nichols,3
Robert Francis Prevost OSA,Leopoldo Brenes,4
Robert Francis Prevost OSA,Gérald Lacroix ISPX,5
Robert Francis Prevost OSA,Jean-Pierre Kutwa,3
Robert Francis Prevost OSA,Orani João Tempesta OCist,3
Robert Francis Prevost OSA,Mario Aurelio Poli,3
Robert Francis Prevost OSA,Philippe Ouédraogo,3
Robert Francis Prevost OSA,Chibly Langlois,5
Robert Francis Prevost OSA,Manuel Clemente,3
Robert Francis Prevost OSA,Berhaneyesus Demerew Souraphiel CM,3
Robert Francis Prevost OSA,John Dew,3
Robert Francis Prevost OSA,Charles Maung Bo SDB,3
Robert Francis Prevost OSA,Kriengsak Kovitvanit,3
Robert Francis Prevost OSA,Francesco Montenegro,3
Robert Francis Prevost OSA,Daniel Sturla SDB,4
