No,Name,Country,Order,Office,Date_of_birth,Age,Date_of_consistory,Pope_of_consistory
105,Jaime Spengler OFM,Brazil,CP,Archbishop of Porto Alegre,6 September 1960,64,7 December 2024,Francis
106,Ignace Bessi Dogbo,Ivory Coast,CP,Archbishop of Abidjan,17 August 1961,63,7 December 2024,Francis
107,Jean-Paul Vesco OP,Algeria[l],CP,Archbishop of Algiers,10 March 1962,63,7 December 2024,Francis
108,Dominique Mathieu OFMConv,Iran[m],CP,Archbishop of Tehran–Isfahan,13 June 1963,61,7 December 2024,Francis
109,Roberto Repole,Italy,CP,Archbishop of Turin and Bishop of Susa,29 January 1967,58,7 December 2024,Francis
110,Baldassare Reina,Italy,CP,Vicar General for Rome and Archpriest of the Papal Basilica of Saint John Lateran,26 November 1970,54,7 December 2024,Francis
111,Frank Leo,Canada,CP,Archbishop of Toronto,30 June 1971,53,7 December 2024,Francis
112,Mykola Bychok CSsR,Australia[n],CP,"Eparch of Saints Peter and Paul of Melbourne
(Ukrainian Greek Church)",13 February 1980,45,7 December 2024,Francis
113,Domenico Battaglia,Italy,CP,Archbishop of Naples,20 January 1963,62,7 December 2024,Francis
114,Dominique Mamberti,France,CD,Prefect of the Supreme Tribunal of the Apostolic Signatura,7 March 1952,73,14 February 2015,Francis
115,Mario Zenari,Italy,CD,Apostolic Nuncio to Syria,5 January 1946,79,19 November 2016,Francis
116,Kevin Farrell,United States[o],CD,"Prefect of the Dicastery for the Laity, Family and Life and Camerlengo of the Holy Roman Church",2 September 1947,77,19 November 2016,Francis
117,Konrad Krajewski,Poland,CD,Almoner of His Holiness,25 November 1963,61,28 June 2018,Francis
118,José Tolentino de Mendonça,Portugal,CD,Prefect of the Dicastery for Culture and Education,15 December 1965,59,5 October 2019,Francis
119,Michael Czerny SJ,Canada[p],CD,Prefect of the Dicastery for Promoting Integral Human Development,18 July 1946,78,5 October 2019,Francis
120,Mario Grech,Malta,CD,Secretary-General of the Synod of Bishops,20 February 1957,68,28 November 2020,Francis
121,Marcello Semeraro,Italy,CD,Prefect of the Dicastery for the Causes of Saints,22 December 1947,77,28 November 2020,Francis
122,Mauro Gambetti OFMConv,Italy,CD,"Vicar General for Vatican City, Archpriest of the Papal Basilica of Saint Peter and President of the Fabric of Saint Peter",27 October 1965,59,28 November 2020,Francis
123,Arthur Roche,United Kingdom,CD,Prefect of the Dicastery for Divine Worship and the Discipline of the Sacraments,6 March 1950,75,27 August 2022,Francis
